Name,Translation
aaditya,आदिशा
aarifa,आरिफा
abhishak,अभिकशा
abishek,अनिशकश
ajab,अजब
ajaj,अजराज
ajim,अजीम
ajmer,अजमेर
akansh,आकाश
akbar,आकाश
akram,आकाश
akshita,अक्षिता
altab,अलीब
ameen,अमीन
amjad,अम्रजा
amreek,अमरिक
amreeta,अमृता
anamika,अस्काका
aniket,अनिस्त
animesh,अनिमेश
anishkaa,अनिष्का
ankala,अंकला
annish,अंनीश
anshika,अंशिका
anshum,अंशुम
araddhna,अर्शाधना
aradhya,अर्घया
areen,आरतीन
arif,आरिफ
arnub,अर्णब
arvinda,अरविंदा
arzoo,अर्जुर
asharam,आशाराम
ashiqu,आशिफ
ashlam,आलमश
ashman,आमान
ashsish,आयुष
asruddin,आसुद्दीन
avantika,अविका
avneet,अवतंत
babali,बैबी
baban,बबल
babupuri,बाजूतरी
bachcha,बच्चाच
balbiri,बलबीर
banju,बन्नू
barham,बाट
beeti,बेटी
bhagay,भय
bhatia,भतिया
bhola,भोला
bhoomi,भोंदी
bhoop,भोपो
binpal,बिपाल
bipin,बिसन
bipnesh,बिनेश
bir,बीर
biraj,बीराज
birmati,बिरिशी
bishan,बिशन
bivla,बि्ला
bodu,बोू
boduram,बोताराम
brajendra,ब्रजज
bram,बबल
bupal,बुपाल
chaman,चमन
chandesh,चांद
chando,चंदू
chandru,चांदू
chaubey,चैयब
chertamani,चेर्णगुनी
chhamo,छोनो
chiranjavi,चिैर्जि
chunni,चुनी
danveer,वीरावीर
deba,बा्बा
deendyal,दींस
deep,दीप
deepender,दीपाेंदर
deni,देन्नी
deva,देवा
deveshwari,देवेशणिमा
devi,देवी
devraj,देवेंद्र
dhaney,धनेय
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,धिधीर
dilip,दिलिप
dimpu,दीपमला
dipeeka,दीपेन्द्र
disi,दिसि
divakar,दिवाकर
dular,दुमर
dulari,दुलाल
dund,दुदस
durgashankar,दुर्गाब
etahsaam,एताह
faraha,फ़रारा
farha,फ़रहा
fulo,फॉफ
gaffur,गफ्फानौर
ganguly,गणय
gappu,गप्पू
geetu,गीतू
ghan,घन
gobind,गोबिंद
gonsan,गोसनन
gulabsha,गुलाबशा
gulbasha,गुलबाशन
gulfan,गुलफ़ान
guluram,गुलाराम
gungun,गुनगुन
gupta,गुप्ता
gurmel,गुरुल
gurubaksh,गुरुबक्षय
gurucharan,गुरुचरण
gyanu,ज्ञायू
hanni,हानी
hanumanram,हनुराम
hardam,हरदाम
harleen,हरलेन
harmani,हरमानी
hasmita,हस्नेता
hem,हेम
himansi,हिमांसी
ibrahim,इब्राहीम
ijhar,ईहैज
ikrar,इकरार
ilema,इल्मा
irsad,इरसद
ishtkar,ईशतकर
israr,इस्ररार
jagriti,जगरी
jaiprakash,जयप्रकाश
jamrujaha,जमुुथा
jani,जनी
janid,जनिद
jasvant,जस्वंत
jasveer,जसवीर
jasvir,जसवीर
javal,जलवल
jayalalithaa,जयजयमाराम
jeeya,जीव
jhansi,झांसि
jitin,जिमिन
jomiya,जो्मीया
joya,जोया
jubed,जुबेद
juna,जुन्ना
junl,जुल
jya,जी्या
kalip,कालीप
kamal,कमल
kamil,कमल
kamini,कालिनी
kamrudeen,कामरुलन
kapish,कपिश
karunakar,कर्कर्त
kasturi,कस्रीतरी
khalidur,खलीपाल
kheem,खुम
khetra,खुेंत
khusbu,खुशबू
khushabu,खुशबूु
khushnudi,खुशबूुर
khushnuma,खुशबूमा
kishore,किशोकेश
kokila,कोलाकी
koushik,कोकौक
krishka,कृष
kuldeel,कुलल
kumkum,कुमकुमकुम
kunden,कुंजन
kusham,कुशम
labbhi,लाबग्ला
laka,लाका
lakhamichand,लाखचंद
laskshita,लस्ताक्षिता
lavkush,लावनेश
lilaram,लाखराम
lukman,लुक्नी
madharam,मौसम
madhava,माधव
madhuni,मधुनी
mahadevi,मांडवी
mahasingh,महाहल
mahesh,महेश
mahipal,माहीपाल
maisan,मैन
mallika,मल्लिका
malti,मारती
mamata,माता
manan,मनन
mandan,मनोन
manish,मनीश
manit,मन्त
manku,मनकु
manmath,मनोमत
mansha,मन्शा
manuja,मनौ
marjina,मार्जिना
masoom,मधुसूम
mayank,कयलक
mayushi,मयमैू
megraaj,मेग्रांद्र
mesak,मेक
methun,मीनासरून
mhosin,एमएचोन
midhana,मिथना
mithu,मिथ
mohanram,मोहराम
moolchul,मूलडौल
mukkesh,मुकेशकेश
mula,लाला
muntiyaj,मुर्तिका
muslim,मुस्लिम
najmin,नजरीन
najre,नरेरे
najreen,नजरीन
nanda,नांडा
nanka,नका
narain,नरनैन
narbahadur,नर्हादुर
naresh,नरेश
nargesh,नरेशेश
naseema,नसीम
nathuram,रामूराम
nausad,नौशाद
naveeja,नवजा
navin,नवीन
naviya,नवीया
nayaka,नायंका
neeru,रूरू
neil,नेल
nicharon,निरुचन
nikky,निक्की
niladri,नीलाद्री
nimahe,निमी
nirosha,निरुषा
nisat,निबो
nittin,नीतिन
noorjhan,नूरजहान
nshima,माशिमा
nuraish,नुराईश
oli,ओली
omesh,ओमेश
omkar,ओंकाकर
panku,पंकू
pannu,पन्नू
papiya,पलिया
papu,पापू
pardeep,परदीप
pargati,परगति
parniti,परेटा
parul,पातुल
phirdos,फानिर्स
pintu,पिंटू
pooga,पूजा
popatlal,पोलालालाल
pphola,पल्फला
prabhat,प्रभात
prabhila,प्रभला
prachi,प्रसनी
pramjot,प्रांतत
pramod,प्रोद
prayatan,प्रतानयण
prem,प्रेम
premchand,प्रेमता
premo,प्रेम
prempal,प्रेमपाल
preyojit,प्रेमजीत
pritee,प्रीती
pritika,प्रीतिका
priyanshu,प्रियांशु
puneeta,पुनीता
punkaj,पूर्जिका
pushkar,पुष्भकर
puspa&,पुष्पन
qadeem,क़दीम
radheyshyam,राध्यश्यामम
raeeyan,रयन
rafal,रफ़ील
ragini,रागिनी
raja,राजा
rajkarnta,राजकारंत
rajput,राजपुत
raksha,रक्षाक्षा
rambarose,रामभराम
rambir,रामबीर
ramli,रामली
ramulu,रामौलु
rangeeta,रगादी
ranjita,रणजीता
rashma,राश्मा
ratn,रतन
revakshi,रेक्षी
rihana,रिहाना
rini,रिी
rinka,रिंका
rony,रोॉ
roshanlal,रोशनलाल
ruji,रुजी
rukmani,रुक्णिमा
saalu,सानू
saaniya,सानिया
saddam,सदम
safiq,सफिक
sahaja,सहना
sahajad,सहजलाल
saheb,साहब
sahenaj,साहनाज
sahun,साहौन
sajni,सजननी
salauddin,सलामुद्दीन
saleem,सलीम
sally,सलीय
saloni,सलोनी
samarth,समाथ
samim,समीम
samir,समीर
samiron,सम्नम
santna,संतना
sapana,सपना
sashi,साशि
sashikala,साशिकला
satrughan,सतरुघन
satvik,सत्वीक
satyvrat,सत्यत
sauni,सानील
shabanm,शब्मन
shadna,शाना
shahir,शाहिर
shahnaj,शाहनाज
shahruf,शाहरुफ
shakti,शाक्ति
shakutal,शकुलता
shamsher,शमशेर
shan,शा
shanshak,शाइक
shelly,शेली
shi,शि
shimpi,शिमरी
shivkumari,शिवारी
shobhit,शोभात
shreemati,श्रीमती
shsi,श्रा
shyama,श्याम
shyamvati,श्यामश्याम
shymo,श्याम
siddharth,सिद्धार्थ
simpi,सिमा
sirajuddin,सिकेसिजा
sivani,सिनीव
siya,सिया
smriti,श्रीमती
soban,सोबन
somprakash,सोमप्रकाश
sony,सोय
sourav,सौरव
spna,स्पना
stephen,स्टेस्टेन
sufiya,सूफिया
sugandha,सुगन्ध
sukhavinder,सुखदवीर
sukhpreeet,सुखतंत
sunny,सुनी
tabbasum,तबसुमब
tajinder,ताजता
talwar,तलविर
tamana,तम्ना
tamanna,तम्ना
tanish,तनिश
tanuj,तनुज
tanushri,तनुश्री
taramati,तारारत
tarnnum,तारन्नुम
teena,तीना
tikku,तिकू
tilak,तिलक
tina,तिल
tinku,तिन्कू
tofik,तोकिक
upender,उपेंद्र
vahab,वाब
vajid,वासिद
vandhna,वंधना
varda,वर्षा
vasa,वसा
vashanavi,वैशान्वी
verendra,वेवेंद्र
veshali,वेली
vijay,विजय
viney,विनीता
vipta,विप्ता
vrendra,रेंद्र
waghal,वाघमाल
yasin,यानसीन
yesh,यश
